scale,selectivity,complexity,query,method,latency_ms,rows,safe_by_rule,error
0.06,0.025,3,q6_lineitem_product_count,post_join_filter,0.4447,0,1,
0.06,0.025,3,q6_lineitem_product_count,view_barrier,0.0543,0,1,
0.06,0.025,3,q6_lineitem_product_count,oblivious_forced,0.2537,0,1,
0.06,0.025,3,q6_lineitem_product_count,predicate_injection,0.0158,0,1,
0.06,0.025,3,q6_lineitem_product_count,pcqv_no_stats,0.35,0,1,
0.06,0.025,3,q6_lineitem_product_count,pcqv_forced,0.0249,0,1,
0.06,0.025,3,q6_lineitem_product_count,pcqv,0.0246,0,1,
0.06,0.025,3,q6_lineitem_product_count,oracle_order,0.0282,0,1,
0.06,0.025,3,q7_customer_summary,no_policy,1.2797,198,0,
0.06,0.025,3,q7_customer_summary,post_join_filter,0.0697,0,1,
0.06,0.025,3,q7_customer_summary,view_barrier,0.0263,0,1,
0.06,0.025,3,q7_customer_summary,oblivious_forced,0.0675,0,1,
0.06,0.025,3,q7_customer_summary,predicate_injection,0.0173,0,1,
0.06,0.025,3,q7_customer_summary,pcqv_no_stats,0.0126,0,1,
0.06,0.025,3,q7_customer_summary,pcqv_forced,0.0153,0,1,
0.06,0.025,3,q7_customer_summary,pcqv,0.0113,0,1,
0.06,0.025,3,q7_customer_summary,oracle_order,0.0116,0,1,
0.06,0.025,3,q8_sensitive_product_scan,no_policy,1.4644,43,0,
0.06,0.025,3,q8_sensitive_product_scan,post_join_filter,0.3135,1,1,
0.06,0.025,3,q8_sensitive_product_scan,view_barrier,0.4361,1,1,
0.06,0.025,3,q8_sensitive_product_scan,oblivious_forced,0.2214,1,1,
0.06,0.025,3,q8_sensitive_product_scan,predicate_injection,0.3044,1,1,
0.06,0.025,3,q8_sensitive_product_scan,pcqv_no_stats,0.0251,1,1,
0.06,0.025,3,q8_sensitive_product_scan,pcqv_forced,0.0333,1,1,
0.06,0.025,3,q8_sensitive_product_scan,pcqv,0.0309,1,1,
0.06,0.025,3,q8_sensitive_product_scan,oracle_order,0.022,1,1,
0.06,0.025,3,q9_ticket_topic_segments,no_policy,4.0331,25,0,
0.06,0.025,3,q9_ticket_topic_segments,post_join_filter,0.0529,0,1,
0.06,0.025,3,q9_ticket_topic_segments,view_barrier,0.0157,0,1,
0.06,0.025,3,q9_ticket_topic_segments,oblivious_forced,0.0737,0,1,
