case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
21,fz021,rows,customers+orders,0.25,2,mut_drop_tenant,0,0,252,126,
21,fz021,rows,customers+orders,0.25,2,mut_drop_purpose,0,1,0,0,
21,fz021,rows,customers+orders,0.25,2,mut_drop_clearance,0,0,42,21,
21,fz021,rows,customers+orders,0.25,2,mut_drop_region,0,0,182,91,
21,fz021,rows,customers+orders,0.25,2,mut_drop_cross_guard,0,1,0,0,
21,fz021,rows,customers+orders,0.25,2,mut_drop_acl,0,1,0,0,
21,fz021,rows,customers+orders,0.25,2,mut_no_group_guard,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,post_join_filter,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,view_barrier,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,predicate_injection,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,pcqv_forced,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,pcqv,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,oracle_order,1,1,0,0,
22,fz022,rows,lineitem,0.5,1,unsafe_late_aggregate,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_no_mask,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_drop_tenant,0,0,196,98,
22,fz022,rows,lineitem,0.5,1,mut_drop_purpose,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_drop_clearance,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_drop_region,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_drop_cross_guard,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_drop_acl,0,1,0,0,
22,fz022,rows,lineitem,0.5,1,mut_no_group_guard,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,post_join_filter,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,view_barrier,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,predicate_injection,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,pcqv_forced,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,pcqv,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,oracle_order,1,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,unsafe_late_aggregate,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_no_mask,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_tenant,0,0,328,164,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_purpose,0,0,308,154,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_clearance,0,0,154,77,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_region,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_cross_guard,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_drop_acl,0,1,0,0,
23,fz023,rows,lineitem+products+orders,0.25,3,mut_no_group_guard,0,1,0,0,
24,fz024,rows,orders,0.1,3,post_join_filter,1,1,0,0,
24,fz024,rows,orders,0.1,3,view_barrier,1,1,0,0,
24,fz024,rows,orders,0.1,3,predicate_injection,1,1,0,0,
24,fz024,rows,orders,0.1,3,pcqv_forced,1,1,0,0,
24,fz024,rows,orders,0.1,3,pcqv,1,1,0,0,
24,fz024,rows,orders,0.1,3,oracle_order,1,1,0,0,
24,fz024,rows,orders,0.1,3,unsafe_late_aggregate,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_no_mask,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_drop_tenant,0,0,258,174,
24,fz024,rows,orders,0.1,3,mut_drop_purpose,0,0,208,149,
24,fz024,rows,orders,0.1,3,mut_drop_clearance,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_drop_region,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_drop_cross_guard,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_drop_acl,0,1,0,0,
24,fz024,rows,orders,0.1,3,mut_no_group_guard,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,post_join_filter,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,view_barrier,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,predicate_injection,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,pcqv_forced,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,pcqv,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,oracle_order,1,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,unsafe_late_aggregate,0,0,39,39,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_no_mask,0,1,0,0,
25,fz025,aggregate,lineitem+orders,0.025,1,mut_drop_tenant,0,0,39,39,
