selectivity,complexity,query,method,compile_ms,sql_chars,iterations
0.025,6,q14_support_owner_rows,predicate_injection,0.011329,427,4
0.025,6,q14_support_owner_rows,pcqv_no_stats,0.027684,433,4
0.025,6,q14_support_owner_rows,pcqv_forced,0.045507,433,4
0.025,6,q14_support_owner_rows,pcqv,0.123628,433,4
0.025,6,q14_support_owner_rows,oracle_order,0.440529,433,1
0.025,6,q15_clearance_product_rows,post_join_filter,0.041287,712,4
0.025,6,q15_clearance_product_rows,view_barrier,0.021972,547,4
0.025,6,q15_clearance_product_rows,oblivious_forced,0.012041,463,4
0.025,6,q15_clearance_product_rows,predicate_injection,0.010178,457,4
0.025,6,q15_clearance_product_rows,pcqv_no_stats,0.024483,463,4
0.025,6,q15_clearance_product_rows,pcqv_forced,0.036807,463,4
0.025,6,q15_clearance_product_rows,pcqv,0.093812,457,4
0.025,6,q15_clearance_product_rows,oracle_order,0.748039,463,1
0.025,6,q16_region_product_mix,post_join_filter,0.075012,1386,4
0.025,6,q16_region_product_mix,view_barrier,0.0351,1030,4
0.025,6,q16_region_product_mix,oblivious_forced,0.021558,872,4
0.025,6,q16_region_product_mix,predicate_injection,0.019141,854,4
0.025,6,q16_region_product_mix,pcqv_no_stats,0.190423,872,4
0.025,6,q16_region_product_mix,pcqv_forced,0.565115,872,4
0.025,6,q16_region_product_mix,pcqv,0.905,854,4
0.025,6,q16_region_product_mix,oracle_order,8.240096,872,1
0.1,1,q1_customer_orders,post_join_filter,0.045711,799,4
0.1,1,q1_customer_orders,view_barrier,0.016195,447,4
0.1,1,q1_customer_orders,oblivious_forced,0.013912,326,4
0.1,1,q1_customer_orders,predicate_injection,0.012418,314,4
0.1,1,q1_customer_orders,pcqv_no_stats,0.056654,326,4
0.1,1,q1_customer_orders,pcqv_forced,0.097285,326,4
0.1,1,q1_customer_orders,pcqv,0.283088,326,4
0.1,1,q1_customer_orders,oracle_order,2.819415,326,1
0.1,1,q2_revenue_by_product,post_join_filter,0.051007,818,4
0.1,1,q2_revenue_by_product,view_barrier,0.018619,512,4
0.1,1,q2_revenue_by_product,oblivious_forced,0.013417,391,4
0.1,1,q2_revenue_by_product,predicate_injection,0.012058,379,4
0.1,1,q2_revenue_by_product,pcqv_no_stats,0.048566,391,4
0.1,1,q2_revenue_by_product,pcqv_forced,0.089652,391,4
0.1,1,q2_revenue_by_product,pcqv,0.283121,391,4
0.1,1,q2_revenue_by_product,oracle_order,1.514478,391,1
0.1,1,q3_support_tickets,post_join_filter,0.035769,672,4
0.1,1,q3_support_tickets,view_barrier,0.012266,375,4
0.1,1,q3_support_tickets,oblivious_forced,0.010866,291,4
0.1,1,q3_support_tickets,predicate_injection,0.009839,285,4
0.1,1,q3_support_tickets,pcqv_no_stats,0.021402,291,4
0.1,1,q3_support_tickets,pcqv_forced,0.029949,291,4
0.1,1,q3_support_tickets,pcqv,0.106462,285,4
0.1,1,q3_support_tickets,oracle_order,0.359831,291,1
0.1,1,q4_revenue_by_region,post_join_filter,0.044962,794,4
0.1,1,q4_revenue_by_region,view_barrier,0.013946,442,4
0.1,1,q4_revenue_by_region,oblivious_forced,0.012493,321,4
0.1,1,q4_revenue_by_region,predicate_injection,0.015729,309,4
0.1,1,q4_revenue_by_region,pcqv_no_stats,0.061271,321,4
0.1,1,q4_revenue_by_region,pcqv_forced,0.093293,321,4
0.1,1,q4_revenue_by_region,pcqv,0.218618,309,4
