selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.05,1,q11_order_ticket_bridge,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q11_order_ticket_bridge,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,40,67,,
0.05,1,q12_product_segment_revenue,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q12_product_segment_revenue,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,27,51,,
0.05,1,q13_order_lineitem_rows,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q13_order_lineitem_rows,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q14_support_owner_rows,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q15_clearance_product_rows,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,1,q15_clearance_product_rows,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
