selectivity,complexity,query,method,latency_ms,rows,error
0.05,6,q12_product_segment_revenue,oracle_order,0.1118,0,
0.05,6,q13_order_lineitem_rows,oblivious_forced,0.0658,0,
0.05,6,q13_order_lineitem_rows,pcqv_no_order,0.0714,0,
0.05,6,q13_order_lineitem_rows,pcqv_no_stats,0.0703,0,
0.05,6,q13_order_lineitem_rows,pcqv_greedy,0.0567,0,
0.05,6,q13_order_lineitem_rows,pcqv_forced,0.0544,0,
0.05,6,q13_order_lineitem_rows,pcqv,0.0922,0,
0.05,6,q13_order_lineitem_rows,oracle_order,0.0695,0,
0.05,6,q14_support_owner_rows,oblivious_forced,0.0977,2,
0.05,6,q14_support_owner_rows,pcqv_no_order,0.381,2,
0.05,6,q14_support_owner_rows,pcqv_no_stats,0.1089,2,
0.05,6,q14_support_owner_rows,pcqv_greedy,0.1079,2,
0.05,6,q14_support_owner_rows,pcqv_forced,0.1029,2,
0.05,6,q14_support_owner_rows,pcqv,0.0986,2,
0.05,6,q14_support_owner_rows,oracle_order,0.0925,2,
0.05,6,q15_clearance_product_rows,oblivious_forced,0.0875,1,
0.05,6,q15_clearance_product_rows,pcqv_no_order,0.0917,1,
0.05,6,q15_clearance_product_rows,pcqv_no_stats,0.0678,1,
0.05,6,q15_clearance_product_rows,pcqv_greedy,0.0564,1,
0.05,6,q15_clearance_product_rows,pcqv_forced,0.0557,1,
0.05,6,q15_clearance_product_rows,pcqv,0.0736,1,
0.05,6,q15_clearance_product_rows,oracle_order,0.0621,1,
0.05,6,q16_region_product_mix,oblivious_forced,0.0937,0,
0.05,6,q16_region_product_mix,pcqv_no_order,0.0986,0,
0.05,6,q16_region_product_mix,pcqv_no_stats,0.1244,0,
0.05,6,q16_region_product_mix,pcqv_greedy,0.1345,0,
0.05,6,q16_region_product_mix,pcqv_forced,0.164,0,
0.05,6,q16_region_product_mix,pcqv,0.1164,0,
0.05,6,q16_region_product_mix,oracle_order,0.1325,0,
0.25,3,q1_customer_orders,oblivious_forced,1.2474,85,
0.25,3,q1_customer_orders,pcqv_no_order,0.5578,85,
0.25,3,q1_customer_orders,pcqv_no_stats,0.5475,85,
0.25,3,q1_customer_orders,pcqv_greedy,0.5733,85,
0.25,3,q1_customer_orders,pcqv_forced,0.5742,85,
0.25,3,q1_customer_orders,pcqv,0.555,85,
0.25,3,q1_customer_orders,oracle_order,0.5952,85,
0.25,3,q2_revenue_by_product,oblivious_forced,1.8977,7,
0.25,3,q2_revenue_by_product,pcqv_no_order,0.6821,7,
0.25,3,q2_revenue_by_product,pcqv_no_stats,0.7165,7,
0.25,3,q2_revenue_by_product,pcqv_greedy,0.6979,7,
0.25,3,q2_revenue_by_product,pcqv_forced,0.8576,7,
0.25,3,q2_revenue_by_product,pcqv,0.8445,7,
0.25,3,q2_revenue_by_product,oracle_order,0.7183,7,
0.25,3,q3_support_tickets,oblivious_forced,0.3823,63,
0.25,3,q3_support_tickets,pcqv_no_order,0.3029,63,
0.25,3,q3_support_tickets,pcqv_no_stats,0.3,63,
0.25,3,q3_support_tickets,pcqv_greedy,0.4647,63,
0.25,3,q3_support_tickets,pcqv_forced,0.4566,63,
0.25,3,q3_support_tickets,pcqv,0.2998,63,
0.25,3,q3_support_tickets,oracle_order,0.3007,63,
0.25,3,q4_revenue_by_region,oblivious_forced,1.9591,4,
0.25,3,q4_revenue_by_region,pcqv_no_order,2.4855,4,
0.25,3,q4_revenue_by_region,pcqv_no_stats,1.6139,4,
0.25,3,q4_revenue_by_region,pcqv_greedy,1.578,4,
0.25,3,q4_revenue_by_region,pcqv_forced,1.5817,4,
0.25,3,q4_revenue_by_region,pcqv,1.5572,4,
0.25,3,q4_revenue_by_region,oracle_order,1.6836,4,
0.25,3,q5_high_value_segments,oblivious_forced,1.8895,5,
0.25,3,q5_high_value_segments,pcqv_no_order,1.8416,5,
0.25,3,q5_high_value_segments,pcqv_no_stats,0.888,5,
0.25,3,q5_high_value_segments,pcqv_greedy,0.535,5,
0.25,3,q5_high_value_segments,pcqv_forced,0.5026,5,
0.25,3,q5_high_value_segments,pcqv,1.9999,5,
0.25,3,q5_high_value_segments,oracle_order,0.5391,5,
0.25,3,q6_lineitem_product_count,oblivious_forced,2.6383,8,
0.25,3,q6_lineitem_product_count,pcqv_no_order,1.4302,8,
0.25,3,q6_lineitem_product_count,pcqv_no_stats,1.4295,8,
0.25,3,q6_lineitem_product_count,pcqv_greedy,1.7832,8,
0.25,3,q6_lineitem_product_count,pcqv_forced,1.4123,8,
0.25,3,q6_lineitem_product_count,pcqv,1.4331,8,
0.25,3,q6_lineitem_product_count,oracle_order,1.4878,8,
0.25,3,q7_customer_summary,oblivious_forced,0.4766,19,
0.25,3,q7_customer_summary,pcqv_no_order,0.2257,19,
0.25,3,q7_customer_summary,pcqv_no_stats,0.2252,19,
0.25,3,q7_customer_summary,pcqv_greedy,0.2224,19,
0.25,3,q7_customer_summary,pcqv_forced,0.3214,19,
0.25,3,q7_customer_summary,pcqv,0.2396,19,
0.25,3,q7_customer_summary,oracle_order,0.321,19,
0.25,3,q8_sensitive_product_scan,oblivious_forced,2.6114,18,
0.25,3,q8_sensitive_product_scan,pcqv_no_order,1.0248,18,
0.25,3,q8_sensitive_product_scan,pcqv_no_stats,1.0541,18,
0.25,3,q8_sensitive_product_scan,pcqv_greedy,1.129,18,
0.25,3,q8_sensitive_product_scan,pcqv_forced,1.1564,18,
0.25,3,q8_sensitive_product_scan,pcqv,1.3599,18,
0.25,3,q8_sensitive_product_scan,oracle_order,1.0092,18,
0.25,3,q9_ticket_topic_segments,oblivious_forced,0.7048,25,
0.25,3,q9_ticket_topic_segments,pcqv_no_order,0.6365,25,
0.25,3,q9_ticket_topic_segments,pcqv_no_stats,0.5986,25,
0.25,3,q9_ticket_topic_segments,pcqv_greedy,0.501,25,
0.25,3,q9_ticket_topic_segments,pcqv_forced,0.6793,25,
0.25,3,q9_ticket_topic_segments,pcqv,0.5149,25,
0.25,3,q9_ticket_topic_segments,oracle_order,0.5745,25,
